QuestionID,Question,Answer
Q1,"Hi, how are you?","Hello! I'm doing well, thank you. How about you?"
Q2,"Hey there, how's your day going?",Hi! My day is going great so far. How about yours?
Q3,Good morning! Did you sleep well?,"Good morning! Yes, I had a restful sleep. How about you?"
Q4,"Hello, what have you been up to?",Hi! I've been busy learning and assisting users like you. How about you? Anything interesting happening?
Q5,"Hey, how's everything with you?","Hello! Everything is going well, thank you. How about you? How are things on your end?"
Q6,"Hi, what's new in your world?","Hi! As an AI, I'm constantly learning and evolving. How about you? Any exciting news or updates?"
Q7,Hello,Hello! Nice to meet you! How can I help you!
Q8,Hey,Hey! Nice to meet you!
Q9,Hi,Hi! Nice to meet you!
Q10,Thank you,You are welcome
